,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
481,1977,physics,Sir Nevill Francis Mott,30-Sep-05,Leeds,United Kingdom,," University of Cambridge, Cambridge, United Kingdom", Condensed matter physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1977 was awarded jointly to Philip Warren Anderson, Sir Nevill Francis Mott and John Hasbrouck van Vleck for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems."
482,1978,chemistry,Peter D. Mitchell,29-Sep-20,Mitcham,United Kingdom,," Glynn Research Laboratories, Bodmin, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1978 was awarded to Peter Mitchell for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory.
483,1978,economics,Herbert A. Simon,15-Jun-16,Milwaukee WI,USA,," Carnegie Mellon University, Pittsburgh, PA, USA", Management science,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1978 was awarded to Herbert A. Simon for his pioneering research into the decision-making process within economic organizations.
484,1978,literature,Isaac Bashevis Singer,14-Jul-04,Leoncin,Russian Empire (now Poland),USA,, Yiddish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1978 was awarded to Isaac Bashevis Singer for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life."
485,1978,medicine,Daniel Nathans,30-Oct-28,Wilmington DE,USA,," Johns Hopkins University School of Medicine, Baltimore, MD, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
486,1978,medicine,Hamilton O. Smith,23-Aug-31,New York NY,USA,," Johns Hopkins University School of Medicine, Baltimore, MD, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
487,1978,medicine,Werner Arber,3-Jun-29,Gränichen,Switzerland,," Biozentrum der Universität, Basel, Switzerland",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1978 was awarded jointly to Werner Arber, Daniel Nathans and Hamilton O. Smith for the discovery of restriction enzymes and their application to problems of molecular genetics."
488,1978,peace,Menachem Begin,16-Aug-13,Brest Litovsk,Russian Empire (now Belarus),Israel, Prime Minister of Israel, Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1978 was awarded jointly to Mohamed Anwar al-Sadat and Menachem Begin
489,1978,peace,Mohamed Anwar al-Sadat,25-Dec-18,Mit Abu al-Kawm,Egypt,Egypt, President of the Arab Republic of Egypt, Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1978 was awarded jointly to Mohamed Anwar al-Sadat and Menachem Begin
490,1978,physics,Arno Allan Penzias,26-Apr-33,Munich,Germany,," Bell Laboratories, Holmdel, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
491,1978,physics,Pyotr Leonidovich Kapitsa,9 July 1894,Kronshtadt,Russian Empire,," Academy of Sciences, Moscow, USSR"," Condensed matter physics, superfluidity",The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
492,1978,physics,Robert Woodrow Wilson,10-Jan-36,Houston TX,USA,," Bell Laboratories, Holmdel, NJ, USA", Astrophysics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1978 was divided, one half awarded to Pyotr Leonidovich Kapitsa for his basic inventions and discoveries in the area of low-temperature physics,the other half jointly to Arno Allan Penzias and Robert Woodrow Wilson for their discovery of cosmic microwave background radiation."
493,1979,chemistry,Georg Wittig,16 June 1897,Berlin,Germany,," University of Heidelberg, Heidelberg, Federal Republic of Germany", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1979 was awarded jointly to Herbert C. Brown and Georg Wittig for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
494,1979,chemistry,Herbert C. Brown,22-May-12,London,United Kingdom,," Purdue University, West Lafayette, IN, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1979 was awarded jointly to Herbert C. Brown and Georg Wittig for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
495,1979,economics,Sir Arthur Lewis,23-Jan-15,Castries,British West Indies (now Saint Lucia),," Princeton University, Princeton, NJ, USA", Development economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979 was awarded jointly to Theodore W. Schultz and Sir Arthur Lewis for their pioneering research into economic development research with particular consideration of the problems of developing countries
496,1979,economics,Theodore W. Schultz,30-Apr-02,Arlington SD,USA,," University of Chicago, Chicago, IL, USA", Development economics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979 was awarded jointly to Theodore W. Schultz and Sir Arthur Lewis for their pioneering research into economic development research with particular consideration of the problems of developing countries
497,1979,literature,Odysseus Elytis,2-Nov-11,Iráklion,Crete (now Greece),Greece,, Greek,The Nobel Prize in Literature,"The Nobel Prize in Literature 1979 was awarded to Odysseus Elytis for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness."
498,1979,medicine,Allan M. Cormack,23-Feb-24,Johannesburg,South Africa,," Tufts University, Medford, MA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1979 was awarded jointly to Allan M. Cormack and Godfrey N. Hounsfield for the development of computer assisted tomography
499,1979,medicine,Godfrey N. Hounsfield,28-Aug-19,Newark,United Kingdom,," Central Research Laboratories, EMI, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1979 was awarded jointly to Allan M. Cormack and Godfrey N. Hounsfield for the development of computer assisted tomography
500,1979,peace,Mother Teresa,26-Aug-10,Uskup (now Skopje),Ottoman Empire (now Republic of Macedonia),India," Leader of Missionaries of Charity, Calcutta", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1979 was awarded to Mother Teresa.
501,1979,physics,Abdus Salam,29-Jan-26,Jhang Maghi?na,India (now Pakistan),," International Centre for Theoretical Physics, Trieste, Italy, Imperial College, London, United Kingdom", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
502,1979,physics,Sheldon Lee Glashow,5-Dec-32,New York NY,USA,," Harvard University, Lyman Laboratory, Cambridge, MA, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
503,1979,physics,Steven Weinberg,3-May-33,New York NY,USA,," Harvard University, Cambridge, MA, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1979 was awarded jointly to Sheldon Lee Glashow, Abdus Salam and Steven Weinberg for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current."
504,1980,chemistry,Frederick Sanger,13-Aug-18,Rendcombe,United Kingdom,," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
505,1980,chemistry,Paul Berg,30-Jun-26,New York NY,USA,," Stanford University, Stanford, CA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
506,1980,chemistry,Walter Gilbert,21-Mar-32,Boston MA,USA,," Harvard University, Biological Laboratories, Cambridge, MA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1980 was divided, one half awarded to Paul Berg for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA,the other half jointly to Walter Gilbert and Frederick Sanger for their contributions concerning the determination of base sequences in nucleic acids."
507,1980,economics,Lawrence R. Klein,14-Sep-20,Omaha NE,USA,," University of Pennsylvania, Philadelphia, PA, USA", Macroeconometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1980 was awarded to Lawrence R. Klein for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies.
508,1980,literature,Czeslaw Milosz,30-Jun-11,?ateiniai,Russian Empire (now Lithuania),"Poland, USA",, Polish,The Nobel Prize in Literature,The Nobel Prize in Literature 1980 was awarded to Czeslaw Milosz who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts.
509,1980,medicine,Baruj Benacerraf,29-Oct-20,Caracas,Venezuela,," Harvard Medical School, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
510,1980,medicine,George D. Snell,19-Dec-03,Bradford MA,USA,," Jackson Laboratory, Bar Harbor, ME, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
511,1980,medicine,Jean Dausset,19-Oct-16,Toulouse,France,," Université de Paris, Laboratoire Immuno-Hématologie, Paris, France",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1980 was awarded jointly to Baruj Benacerraf, Jean Dausset and George D. Snell for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions."
512,1980,peace,Adolfo Pérez Esquivel,26-Nov-31,Buenos Aires,Argentina,Argentina," Human rights leader, Sculptor, Architect", Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1980 was awarded to Adolfo Pérez Esquivel.
513,1980,physics,James Watson Cronin,29-Sep-31,Chicago IL,USA,," University of Chicago, Chicago, IL, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1980 was awarded jointly to James Watson Cronin and Val Logsdon Fitch for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
514,1980,physics,Val Logsdon Fitch,10-Mar-23,Merriman NE,USA,," Princeton University, Princeton, NJ, USA", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1980 was awarded jointly to James Watson Cronin and Val Logsdon Fitch for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
515,1981,chemistry,Kenichi Fukui,4-Oct-18,Nara,Japan,," Kyoto University, Kyoto, Japan", Theoretical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1981 was awarded jointly to Kenichi Fukui and Roald Hoffmann for their theories, developed independently, concerning the course of chemical reactions"
516,1981,chemistry,Roald Hoffmann,18-Jul-37,Zloczov,Poland,," Cornell University, Ithaca, NY, USA", Theoretical chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1981 was awarded jointly to Kenichi Fukui and Roald Hoffmann for their theories, developed independently, concerning the course of chemical reactions"
517,1981,economics,James Tobin,5-Mar-18,Champaign IL,USA,," Yale University, New Haven, CT, USA", Macroeconomics,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1981 was awarded to James Tobin for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices."
518,1981,literature,Elias Canetti,25-Jul-05,Ruse,Bulgaria,United Kingdom,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1981 was awarded to Elias Canetti for writings marked by a broad outlook, a wealth of ideas and artistic power."
519,1981,medicine,David H. Hubel,27-Feb-26,Windsor ON,Canada,," Harvard Medical School, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
520,1981,medicine,Roger W. Sperry,20-Aug-13,Hartford CT,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
521,1981,medicine,Torsten N. Wiesel,3-Jun-24,Uppsala,Sweden,," Harvard Medical School, Boston, MA, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
522,1981,peace,Office of the United Nations High Commissioner for Refugees (UNHCR),1951 in Geneva,,Switzerland,, An international aid organization established by the UN, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1981 was awarded to Office of the United Nations High Commissioner for Refugees.
523,1981,physics,Arthur Leonard Schawlow,5-May-21,Mount Verno NY,USA,," Stanford University, Stanford, CA, USA"," Optical physics, quantum electrodynamics",The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
524,1981,physics,Kai M. Siegbahn,20-Apr-18,Lund,Sweden,," Uppsala University, Uppsala, Sweden", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
525,1981,physics,Nicolaas Bloembergen,11-Mar-20,Dordrecht,the Netherlands,," Harvard University, Cambridge, MA, USA"," Optical physics, quantum electrodynamics",The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
526,1982,chemistry,Aaron Klug,11-Aug-26,Zelvas,Lithuania,," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1982 was awarded to Aaron Klug for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes.
527,1982,economics,George J. Stigler,17-Jan-11,Renton WA,USA,," University of Chicago, Chicago, IL, USA", Industrial organization,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1982 was awarded to George J. Stigler for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation."
528,1982,literature,Gabriel García Márquez,6-Mar-28,Aracataca,Colombia,Colombia,, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1982 was awarded to Gabriel García Márquez for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts."
529,1982,medicine,Bengt I. Samuelsson,21-May-34,Halmstad,Sweden,," Karolinska Institutet, Stockholm, Sweden",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
530,1982,medicine,John R. Vane,29-Mar-27,Tardebigg,United Kingdom,," The Wellcome Research Laboratories, Beckenham, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
531,1982,medicine,Sune K. Bergström,10-Jan-16,Stockholm,Sweden,," Karolinska Institutet, Stockholm, Sweden",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
532,1982,peace,Alfonso García Robles,20-Mar-11,Zamora,Mexico,Mexico," former Secretary for Foreign Affairs, delegate to the United Nations General Assembly on Disarmament, Diplomat", Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 1982 was awarded jointly to Alva Myrdal and Alfonso García Robles
533,1982,peace,Alva Myrdal,31-Jan-02,Uppsala,Sweden,Sweden," Writer, Diplomat, former Cabinet Minister", Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 1982 was awarded jointly to Alva Myrdal and Alfonso García Robles
534,1982,physics,Kenneth G. Wilson,8-Jun-36,Waltham MA,USA,," Cornell University, Ithaca, NY, USA"," Condensed matter physics, critical phenomena",The Nobel Prize in Physics,The Nobel Prize in Physics 1982 was awarded to Kenneth G. Wilson for his theory for critical phenomena in connection with phase transitions.
535,1983,chemistry,Henry Taube,30-Nov-15,Neudorf,Canada,," Stanford University, Stanford, CA, USA"," Physical chemistry, inorganic chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1983 was awarded to Henry Taube for his work on the mechanisms of electron transfer reactions, especially in metal complexes."
536,1983,economics,Gerard Debreu,4-Jul-21,Calais,France,," University of California, Berkeley, CA, USA", General equilibrium theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1983 was awarded to Gerard Debreu for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium.
537,1983,literature,William Golding,19-Sep-11,St. Columb Minor,United Kingdom,United Kingdom,, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1983 was awarded to William Golding for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today."
538,1983,medicine,Barbara McClintock,16-Jun-02,Hartford CT,USA,," Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1983 was awarded to Barbara McClintock for her discovery of mobile genetic elements.
539,1983,peace,Lech Walesa,29-Sep-43,Popowo,Poland,Poland, Trade union leader (Solidaritet), Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1983 was awarded to Lech Walesa.
540,1983,physics,Subramanyan Chandrasekhar,19-Oct-10,Lahore,India (now Pakistan),," University of Chicago, Chicago, IL, USA", Astrophysics,The Nobel Prize in Physics,The Nobel Prize in Physics 1983 was divided equally between Subramanyan Chandrasekhar for his theoretical studies of the physical processes of importance to the structure and evolution of the stars and William Alfred Fowler for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe.
541,1983,physics,William Alfred Fowler,9-Aug-11,Pittsburgh PA,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA", Astrophysics,The Nobel Prize in Physics,The Nobel Prize in Physics 1983 was divided equally between Subramanyan Chandrasekhar for his theoretical studies of the physical processes of importance to the structure and evolution of the stars and William Alfred Fowler for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe.
542,1984,chemistry,Robert Bruce Merrifield,15-Jul-21,Fort Worth TX,USA,," Rockefeller University, New York, NY, USA", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1984 was awarded to Bruce Merrifield for his development of methodology for chemical synthesis on a solid matrix.
543,1984,economics,Richard Stone,30-Aug-13,London,United Kingdom,," University of Cambridge, Cambridge, United Kingdom", National income accounting,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1984 was awarded to Richard Stone for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis.
544,1984,literature,Jaroslav Seifert,23-Sep-01,Prague,Austria-Hungary (now Czech Republic),Czechoslovakia,, Czech,The Nobel Prize in Literature,"The Nobel Prize in Literature 1984 was awarded to Jaroslav Seifert for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man."
545,1984,medicine,César Milstein,8-Oct-27,Bahia Blanca,Argentina,," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
546,1984,medicine,Georges J.F. Köhler,17-Apr-46,Munich,Germany,," Basel Institute for Immunology, Basel, Switzerland",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
547,1984,medicine,Niels K. Jerne,23-Dec-11,London,United Kingdom,," Basel Institute for Immunology, Basel, Switzerland",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
548,1984,peace,Desmond Mpilo Tutu,7-Oct-31,Klerksdorp,South Africa,South Africa," former Secretary General, South African Council of Churches (S.A.C.C.), Bishop of Johannesburg", Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1984 was awarded to Desmond Tutu.
549,1984,physics,Carlo Rubbia,31-Mar-34,Gorizia,Italy,," CERN, Geneva, Switzerland", Experimental particel physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1984 was awarded jointly to Carlo Rubbia and Simon van der Meer for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
550,1984,physics,Simon van der Meer,24-Nov-25,the Hague,the Netherlands,," CERN, Geneva, Switzerland", Experimental particel physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1984 was awarded jointly to Carlo Rubbia and Simon van der Meer for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
551,1985,chemistry,Herbert A. Hauptman,14-Feb-17,New York NY,USA,," The Medical Foundation of Buffalo, Buffalo, NY, USA"," Physical chemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1985 was awarded jointly to Herbert A. Hauptman and Jerome Karle for their outstanding achievements in the development of direct methods for the determination of crystal structures
552,1985,chemistry,Jerome Karle,18-Jun-18,New York NY,USA,," US Naval Research Laboratory, Washington, DC, USA"," Physical chemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1985 was awarded jointly to Herbert A. Hauptman and Jerome Karle for their outstanding achievements in the development of direct methods for the determination of crystal structures
553,1985,economics,Franco Modigliani,18-Jun-18,Rome,Italy,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Macroeconomics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1985 was awarded to Franco Modigliani for his pioneering analyses of saving and of financial markets.
554,1985,literature,Claude Simon,10-Oct-13,Tananarive (now Antananarivo),Madagascar,France,, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1985 was awarded to Claude Simon who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition.
555,1985,medicine,Joseph L. Goldstein,18-Apr-40,Sumter SC,USA,," University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1985 was awarded jointly to Michael S. Brown and Joseph L. Goldstein for their discoveries concerning the regulation of cholesterol metabolism
556,1985,medicine,Michael S. Brown,13-Apr-41,New York NY,USA,," University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1985 was awarded jointly to Michael S. Brown and Joseph L. Goldstein for their discoveries concerning the regulation of cholesterol metabolism
557,1985,peace,International Physicians for the Prevention of Nuclear War,1980 in Boston,MA,USA,,, Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 1985 was awarded to International Physicians for the Prevention of Nuclear War.
558,1985,physics,Klaus von Klitzing,28-Jun-43,Schroda,German-occupied Poland,," Max-Planck-Institut für Festkörperforschung, Stuttgart, Federal Republic of Germany", Condensed matter physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1985 was awarded to Klaus von Klitzing for the discovery of the quantized Hall effect.
559,1986,chemistry,Dudley R. Herschbach,18-Jun-32,San José CA,USA,," Harvard University, Cambridge, MA, USA"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1986 was awarded jointly to Dudley R. Herschbach, Yuan T. Lee and John C. Polanyi for their contributions concerning the dynamics of chemical elementary processes."
560,1986,chemistry,John C. Polanyi,23-Jan-29,Berlin,Germany,," University of Toronto, Toronto, Canada"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1986 was awarded jointly to Dudley R. Herschbach, Yuan T. Lee and John C. Polanyi for their contributions concerning the dynamics of chemical elementary processes."
561,1986,chemistry,Yuan T. Lee,19-Nov-36,Hsinchu,Taiwan,," University of California, Berkeley, CA, USA"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1986 was awarded jointly to Dudley R. Herschbach, Yuan T. Lee and John C. Polanyi for their contributions concerning the dynamics of chemical elementary processes."
562,1986,economics,James M. Buchanan Jr.,3-Oct-19,Murfreesboro TN,USA,," Center for Study of Public Choice, Fairfax, VA, USA", Public finance,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1986 was awarded to James M. Buchanan Jr. for his development of the contractual and constitutional bases for the theory of economic and political decision-making.
563,1986,literature,Wole Soyinka,13-Jul-34,Abeokuta,Nigeria,Nigeria,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1986 was awarded to Wole Soyinka who in a wide cultural perspective and with poetic overtones fashions the drama of existence.
564,1986,medicine,Rita Levi-Montalcini,22-Apr-09,Turin,Italy,," Institute of Cell Biology of the C.N.R, Rome, Italy",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1986 was awarded jointly to Stanley Cohen and Rita Levi-Montalcini for their discoveries of growth factors
565,1986,medicine,Stanley Cohen,17-Nov-22,Brooklyn NY,USA,," Vanderbilt University School of Medicine, Nashville, TN, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1986 was awarded jointly to Stanley Cohen and Rita Levi-Montalcini for their discoveries of growth factors
566,1986,peace,Elie Wiesel,30-Sep-28,Sighet,Romania,USA, Chairman of The President's Commission on the Holocaust," Human rights, humanitarian work",The Nobel Peace Prize,The Nobel Peace Prize 1986 was awarded to Elie Wiesel.
